sample_index,timestamp_us,slot0_raw,slot1_raw,finger_contact,fifo_ok,fifo_overflow_count
1960,78958374,36093,53591,-1,1,0
1961,78998374,36107,53610,-1,1,0
1962,79038374,36127,53675,-1,1,0
1963,79078374,36116,53647,-1,1,0
1964,79118374,36010,53305,-1,1,0
1965,79158374,35931,53044,-1,1,0
1966,79198374,35905,52976,-1,1,0
1967,79238374,35888,52939,-1,1,0
1968,79278374,35889,52953,-1,1,0
1969,79318374,35909,53038,-1,1,0
1970,79358374,35944,53126,-1,1,0
1971,79398374,35970,53184,-1,1,0
1972,79438374,36008,53298,-1,1,0
1973,79478374,36033,53425,-1,1,0
1974,79518374,36064,53534,-1,1,0
1975,79558374,36075,53622,-1,1,0
1976,79598374,36116,53711,-1,1,0
1977,79638374,36134,53795,-1,1,0
1978,79678374,36153,53859,-1,1,0
1979,79718374,36173,53915,-1,1,0
1980,79758374,36211,54019,-1,1,0
1981,79798374,36241,54113,-1,1,0
1982,79838374,36242,54088,-1,1,0
1983,79878374,36165,53840,-1,1,0
1984,79918374,36123,53697,-1,1,0
1985,79958374,36134,53724,-1,1,0
1986,79998374,36144,53760,-1,1,0
1987,80038374,36158,53815,-1,1,0
1988,80078374,36189,53903,-1,1,0
1989,80118374,36195,53930,-1,1,0
1990,80158374,36201,53924,-1,1,0
1991,80198374,36204,53957,-1,1,0
1992,80238374,36215,54002,-1,1,0
1993,80278374,36239,54081,-1,1,0
1994,80318374,36267,54156,-1,1,0
1995,80358374,36275,54216,-1,1,0
1996,80398374,36292,54254,-1,1,0
1997,80438374,36292,54277,-1,1,0
1998,80478374,36311,54348,-1,1,0
1999,80518374,36339,54418,-1,1,0
2000,80558374,36342,54435,-1,1,0
2001,80598374,36287,54210,-1,1,0
2002,80638374,36228,54001,-1,1,0
2003,80678374,36206,53962,-1,1,0
2004,80718374,36232,54009,-1,1,0
2005,80758374,36263,54100,-1,1,0
2006,80798374,36307,54241,-1,1,0
2007,80838374,36327,54308,-1,1,0
2008,80878374,36313,54268,-1,1,0
2009,80918374,36305,54250,-1,1,0
2010,80958374,36307,54266,-1,1,0
2011,80998374,36332,54327,-1,1,0
2012,81038374,36365,54437,-1,1,0
2013,81078374,36376,54496,-1,1,0
2014,81118374,36383,54514,-1,1,0
2015,81158374,36392,54528,-1,1,0
2016,81198374,36385,54530,-1,1,0
2017,81238374,36378,54505,-1,1,0
2018,81278374,36312,54296,-1,1,0
2019,81318374,36227,54003,-1,1,0
2020,81358374,36191,53895,-1,1,0
2021,81398374,36201,53931,-1,1,0
2022,81438374,36211,53972,-1,1,0
2023,81478374,36219,54047,-1,1,0
2024,81518374,36225,54070,-1,1,0
2025,81558374,36217,54042,-1,1,0
2026,81598374,36209,54013,-1,1,0
2027,81638374,36209,54043,-1,1,0
2028,81678374,36223,54090,-1,1,0
2029,81718374,36235,54130,-1,1,0
2030,81758374,36226,54133,-1,1,0
2031,81798374,36229,54126,-1,1,0
2032,81838374,36221,54121,-1,1,0
2033,81878374,36211,54141,-1,1,0
2034,81918374,36214,54140,-1,1,0
2035,81958374,36140,53903,-1,1,0
2036,81998374,36022,53526,-1,1,0
2037,82038374,35981,53364,-1,1,0
2038,82078374,35969,53342,-1,1,0
2039,82118374,35988,53405,-1,1,0
2040,82158374,36034,53529,-1,1,0
2041,82198374,36059,53617,-1,1,0
2042,82238374,36039,53556,-1,1,0
2043,82278374,36007,53479,-1,1,0
2044,82318374,36012,53482,-1,1,0
2045,82358374,36018,53526,-1,1,0
