file,window_id,start_sample,end_sample,start_s,end_s,clean_fraction_from_flags,adc_invalid_fraction,rail_fraction,flat_ratio,ecg_morph_rms,ecg_qrs_rms,ecg_qrs_band_ratio,ecg_kurtosis,ecg_skew,qrs_peak_count,reference_good,ecg_good_v01
ecg_raw(8).csv,9,11250,13750,22.5,27.5,0.8344,0.0036,0.0036,0.022809123649459785,122.35326460412382,59.50348809571438,0.9355053655081487,34.744759529539735,4.778861131211087,12,True,True
ecg_raw(8).csv,10,12500,15000,25.0,30.0,0.83,0.0032,0.0032,0.025210084033613446,113.72213043278464,63.18106017917621,0.9574473590780876,52.97798289484291,6.026709253723557,13,True,True
ecg_raw(8).csv,11,13750,16250,27.5,32.5,0.8232,0.0052,0.0052,0.022008803521408563,144.05882664721685,77.8601623332754,0.9565989003240113,28.394409861594653,4.412554338809046,15,False,False
ecg_raw(8).csv,12,15000,17500,30.0,35.0,0.8304,0.002,0.002,0.020008003201280513,103.24528694078617,55.667968457552945,0.9542939327490662,29.893553913782835,4.023950186865507,14,True,True
ecg_raw(8).csv,13,16250,18750,32.5,37.5,0.8316,0.0,0.0,0.020008003201280513,54.658501679330314,32.90327078205206,0.9631414485816221,17.07326357459321,1.3613269853150538,14,True,True
ecg_raw(8).csv,14,17500,20000,35.0,40.0,0.836,0.0,0.0,0.012805122048819529,41.003156020564056,25.152835050798082,0.9570543233419163,80.65391352889854,6.1860776950878416,14,True,True
ecg_raw(8).csv,15,18750,21250,37.5,42.5,0.8408,0.0,0.0,0.01600640256102441,41.63286900128419,25.405178139117332,0.9514104979796232,76.151648395129,6.112686822067543,14,True,True
ecg_raw(8).csv,16,20000,22500,40.0,45.0,0.84,0.0008,0.0008,0.022008803521408563,70.1554585329705,45.41016967212102,0.963581376958768,117.86716078862301,9.356703238830821,14,True,True
ecg_raw(8).csv,17,21250,23750,42.5,47.5,0.8388,0.0036,0.0036,0.020808323329331732,122.9473392524749,72.02770066148786,0.9640661391881863,41.306769249144125,5.597867871269962,12,True,True
ecg_raw(8).csv,18,22500,25000,45.0,50.0,0.842,0.0028,0.0028,0.028011204481792718,105.98431799278539,58.459904161006854,0.9675954909747878,53.35515396778825,6.167587213048823,13,True,True
ecg_raw(8).csv,19,23750,26250,47.5,52.5,0.8368,0.0,0.0,0.029611844737895156,30.229702947298065,16.062202444855842,0.9226856034017537,15.553112865561287,1.347491166561499,14,True,True
ecg_raw(8).csv,20,25000,27500,50.0,55.0,0.8384,0.0004,0.0004,0.024809923969587835,69.69989854223797,43.46362248161571,0.9536093503433553,109.45677903596989,9.165671268173972,14,True,True
