time_s,sample_index,timestamp_us,ecg_raw,leads_off,adc_ok,ecg_morph,ecg_qrs,r_peak
0.126,34510,69544968,0,0,0,-272.89238180527406,0.11059868065071976,0
0.128,34511,69546968,0,0,0,-275.08879156955516,0.08456212563818577,0
0.13,34512,69548968,0,0,0,-277.2185100121482,0.05459974697225345,0
0.132,34513,69550968,0,0,0,-279.28831181197916,0.019503944040443533,0
0.134,34514,69552968,3,0,1,-281.3410254681328,-0.0228854232598088,0
0.136,34515,69554968,0,0,0,-283.4221020154086,-0.07479641174099905,0
0.138,34516,69556968,2,1,1,-285.5518173686341,-0.13770778688424035,0
0.14,34517,69558968,0,1,0,-287.73013611514983,-0.21220373431732154,0
0.142,34518,69560968,0,1,0,-289.96035918555714,-0.2982656175340561,0
0.144001,34519,69562969,4,0,1,-292.2617278841427,-0.395420938623679,0
0.146,34520,69564968,0,0,0,-294.6414419529624,-0.5021802669071026,0
0.148,34521,69566968,0,0,0,-297.0630653522809,-0.6155168580172592,0
0.15,34522,69568968,0,0,0,-299.46978477949654,-0.7315427740038386,0
0.152,34523,69570968,0,0,0,-301.82278458532534,-0.8465468615433146,0
0.154,34524,69572968,0,0,0,-304.1074374531157,-0.9573794046209125,0
0.156,34525,69574968,0,0,0,-306.32600697405945,-1.0614868371982242,0
0.158,34526,69576968,0,1,0,-308.49458368684896,-1.1569206742238929,0
0.16,34527,69578968,1,1,1,-310.6401374097323,-1.2422456386675427,0
0.162,34528,69580968,0,1,0,-312.7926539301225,-1.3162767693309168,0
0.164,34529,69582968,2,0,1,-314.97504689705664,-1.3777445418059395,0
0.166,34530,69584968,0,0,0,-317.193439033464,-1.4249910272670498,0
0.168,34531,69586968,0,0,0,-319.43906874627737,-1.4559581402823958,0
0.17,34532,69588968,2,0,1,-321.7054375691393,-1.468551882999209,0
0.172,34533,69590968,0,0,0,-323.99174143684,-1.4608050204289607,0
0.174,34534,69592968,1,0,1,-326.29285473373227,-1.4308326296254488,0
0.176,34535,69594968,0,0,0,-328.60512403065735,-1.3771469079667589,0
0.178,34536,69596968,3,1,1,-330.9316146755407,-1.2989964624247463,0
0.18,34537,69598968,0,1,0,-333.26216781627613,-1.1962332203183756,0
0.182,34538,69600968,0,1,0,-335.5618306641536,-1.0693562461035055,0
0.184001,34539,69602969,2,0,1,-337.7934961884892,-0.9202093946492619,0
0.186,34540,69604968,0,0,0,-339.9349460581396,-0.7524890676305538,0
0.188,34541,69606968,0,0,0,-341.98374295822174,-0.5718657409803184,0
0.19,34542,69608968,7,0,1,-343.95942182807977,-0.3858620990258803,0
0.192,34543,69610968,0,0,0,-345.86196959318244,-0.20268287242107674,0
0.194,34544,69612968,0,0,0,-347.6488068473602,-0.030249402127425995,0
0.196,34545,69614968,1,0,1,-349.32167316639806,0.12276411778355523,0
0.198,34546,69616968,1,1,1,-351.0359999717255,0.24565595149913766,0
0.2,34547,69618968,22,1,1,-353.0592750267744,0.32756117162058707,0
0.202,34548,69620968,0,1,0,-355.53311432675497,0.3630830966576578,0
0.204,34549,69622968,1,0,1,-358.3280128744721,0.3556132617379987,0
0.206,34550,69624968,3,0,1,-361.2180795866611,0.31367191102443037,0
0.208,34551,69626968,0,0,0,-364.0970202100203,0.24592309475475282,0
0.21,34552,69628968,12,0,1,-366.9775140566256,0.1602702112552773,0
0.212,34553,69630968,0,0,0,-369.85081842068064,0.06571040828162317,0
0.214,34554,69632968,0,0,0,-372.6010956421548,-0.026862812687285936,0
