file,window_id,start_sample,end_sample,start_s,end_s,clean_fraction_from_flags,adc_invalid_fraction,rail_fraction,flat_ratio,ecg_morph_rms,ecg_qrs_rms,ecg_qrs_band_ratio,ecg_kurtosis,ecg_skew,qrs_peak_count,reference_good,ecg_good_v01,record_label,r_peak_count_detected,bpm_median,rr_valid_count,rr_sdnn_ms,rr_rmssd_ms
ecg_raw(9).csv,10,12500,15000,25.0,30.0,0.274,0.5736,0.6884,0.40856342537014806,105.12099529516914,68.63817252371422,0.9577030101586497,3.6549427692596597,0.8925843659993774,15,False,False,ecg_noisy,5,94.04388714733543,4,233.83968867581058,389.87348375252884
ecg_raw(9).csv,11,13750,16250,27.5,32.5,0.3224,0.4816,0.5616,0.3385354141656663,134.46797801978371,85.26807581510234,0.9647592185481676,4.074185225684813,0.5028415749353622,15,False,False,ecg_noisy,7,89.68609865470852,6,138.34883447286427,243.913099279231
ecg_raw(9).csv,12,15000,17500,30.0,35.0,0.3964,0.3672,0.3972,0.250500200080032,155.7736379181062,92.85098990526313,0.9650426824968338,4.5687633906429825,-0.17704982100860706,15,False,False,ecg_noisy,9,104.89510489510491,7,161.0004436551119,278.6467297493369
ecg_raw(9).csv,13,16250,18750,32.5,37.5,0.552,0.1988,0.2088,0.11444577831132453,149.0141941686433,88.52229067241124,0.973206371093356,4.925491112745148,-0.662043048031372,14,False,False,ecg_noisy,8,92.5925925925926,6,144.1078299977717,265.5258932759666
ecg_raw(9).csv,14,17500,20000,35.0,40.0,0.698,0.0604,0.0624,0.025610244097639057,144.8451681422785,90.52417837411389,0.9622823894027476,8.69985829667289,-1.39518817208351,16,False,False,ecg_noisy,7,89.68609865470852,6,31.16408188925192,30.63331519767327
ecg_raw(9).csv,15,18750,21250,37.5,42.5,0.7492,0.0084,0.0084,0.004801920768307323,160.35401069165005,100.66768080699096,0.9632875573943931,11.59714525133766,-1.7893332846149834,15,False,False,ecg_noisy,9,88.49557522123894,7,115.57969833265126,173.0240831021316
ecg_raw(9).csv,16,20000,22500,40.0,45.0,0.7504,0.0056,0.0056,0.004001600640256103,150.09910887780248,93.75303920472668,0.9558554366077818,13.619789978870726,-2.0419221353173866,14,False,False,ecg_noisy,8,87.08272859216255,6,128.36458493940867,188.43778814239997
ecg_raw(9).csv,17,21250,23750,42.5,47.5,0.7492,0.0076,0.0076,0.005202080832332933,134.2247246988238,80.42648229280974,0.9553298452093318,12.462741431177516,-2.0505240132844667,14,False,False,ecg_noisy,7,88.36524300441826,6,33.68085509603338,30.99677402569498
ecg_raw(9).csv,18,22500,25000,45.0,50.0,0.748,0.008,0.008,0.003601440576230492,145.6225852608949,86.23516325180142,0.9603003949992164,11.527150660828001,-1.9403983746105808,14,False,False,ecg_noisy,8,91.1854103343465,7,18.184242262647825,19.04380914278095
ecg_raw(9).csv,19,23750,26250,47.5,52.5,0.7536,0.0036,0.0036,0.0024009603841536613,154.23157283477806,93.49331563154341,0.9608709751055143,16.051738570701353,-2.6452129781453517,15,False,False,ecg_noisy,7,88.36524300441826,6,257.4068116166833,397.0571747242455
ecg_raw(9).csv,20,25000,27500,50.0,55.0,0.726,0.0412,0.0432,0.01600640256102441,148.2779126740219,88.66996933852279,0.973511723154468,18.401946741959026,-2.8512830992747102,15,False,False,ecg_noisy,6,85.22727272727273,5,269.6160232627134,320.15933533164394
ecg_raw(9).csv,21,26250,28750,52.5,57.5,0.6628,0.1172,0.1208,0.04321728691476591,153.21733463164634,86.28259046154531,0.9591302385069632,16.68078377150925,-2.673111295942853,14,False,False,ecg_noisy,7,88.75739644970413,6,33.84080377296023,38.51233568611491
ecg_raw(9).csv,22,27500,30000,55.0,60.0,0.618,0.1716,0.174,0.07643057222889156,163.12335137829024,90.34927480966155,0.9573757958357201,14.095838919372007,-2.487681267441079,14,False,False,ecg_noisy,8,92.5925925925926,7,38.06510713176019,43.12771730569565
