time_s,sample_index,timestamp_us,slot0_raw,slot1_raw,finger_contact,fifo_ok,fifo_overflow_count,slot0_dc,slot0_ac,slot1_dc,slot1_ac,slot0_peak,slot1_peak
1.48,1763,71078374,36393,52466,-1,1,0,35659.593260345784,736.9159249347492,50081.78565032283,2426.4094658126573,0,0
1.52,1764,71118374,36455,52709,-1,1,0,35745.411349075825,708.5020136814455,50367.706693296175,2378.5455104837047,0,0
1.56,1765,71158374,36466,52814,-1,1,0,35825.45862090063,646.1101282005147,50639.62501078544,2211.3882262863535,0,0
1.6,1766,71198374,36443,52771,-1,1,0,35899.35303798464,546.3151900091564,50895.66894143649,1912.6304647658178,0,0
1.64,1767,71238374,36411,52721,-1,1,0,35966.86976878523,446.8387323571052,51134.49770274048,1623.676359995221,0,0
1.68,1768,71278374,36402,52762,-1,1,0,36027.92004451913,377.8443803070884,51355.24122804648,1420.8248051409905,0,0
1.72,1769,71318374,36418,52802,-1,1,0,36082.52965456227,332.753566207504,51557.437852060146,1266.7199475560192,0,0
1.76,1770,71358374,36425,52873,-1,1,0,36130.821539644814,293.9952995362781,51740.982698785265,1136.368192544903,0,0
1.8,1771,71398374,36436,52930,-1,1,0,36173.0031365949,262.7648302483982,51906.08789683015,1026.6363071961462,0,0
1.84,1772,71438374,36450,52974,-1,1,0,36209.356674966504,231.3492228495191,52053.250626798224,908.7205364860955,0,0
1.88,1773,71478374,36429,52970,-1,1,0,36240.230839348274,186.20038425494477,52183.2247996931,768.6501978939186,0,0
1.92,1774,71518374,36414,52955,-1,1,0,36266.03217656248,138.70161510605243,52296.99240670705,638.5965388534271,0,0
1.96,1775,71558374,36381,52912,-1,1,0,36287.21492368696,87.2850950662338,52395.73247488841,488.34702284296463,0,0
2.0,1776,71598374,36324,52733,-1,1,0,36304.2690152537,3.896519142073771,52480.78592933138,198.60418477579287,0,0
2.04,1777,71638374,36228,52400,-1,1,0,36317.70526420912,-96.05108025707727,52553.609192683274,-182.51611793803136,0,0
2.08,1778,71678374,36185,52229,-1,1,0,36328.03667129134,-155.68577611568247,52615.70937626117,-427.84845030834117,0,0
2.12,1779,71718374,36180,52230,-1,1,0,36335.7591056375,-169.26598710889266,52668.57193943029,-501.9644245472273,0,0
2.16,1780,71758374,36186,52235,-1,1,0,36341.33748179167,-170.02755073551975,52713.60532856119,-525.7645972119365,0,0
2.2,1781,71798374,36192,52290,-1,1,0,36345.19956666673,-158.45554952717328,52752.112884056114,-498.5374981935814,0,0
2.24,1782,71838374,36214,52385,-1,1,0,36347.73482522034,-150.75398111267197,52785.28417681116,-463.1461167958074,0,0
2.28,1783,71878374,36172,52306,-1,1,0,36349.29498591088,-189.50166498537962,52814.19542125253,-557.5206094453223,0,0
2.32,1784,71918374,36114,52172,-1,1,0,36350.19235834891,-240.31591047779284,52839.80643034389,-700.4778754070978,0,0
2.36,1785,71958374,36128,52213,-1,1,0,36350.693512055084,-233.92737370414383,52862.94488132746,-692.0309524541595,0,0
2.4,1786,71998374,36177,52381,-1,1,0,36351.01292342126,-182.42742365130601,52884.288934193355,-546.3329078780052,0,0
2.44,1787,72038374,36225,52539,-1,1,0,36351.31366924562,-129.5559759504421,52904.36856905305,-385.7536355078996,0,0
2.48,1788,72078374,36269,52693,-1,1,0,36351.71559868341,-87.34113085101772,52923.58874676358,-259.4286825359161,0,0
2.52,1789,72118374,36292,52778,-1,1,0,36352.306163109264,-63.43428499408563,52942.26133132337,-185.09190262953018,0,0
2.56,1790,72158374,36301,52835,-1,1,0,36353.149798929255,-53.91768147306543,52960.63346350894,-137.25911146523887,0,0
2.6,1791,72198374,36326,52952,-1,1,0,36354.29439883081,-26.454254527342037,52978.908371465404,-39.882357604886785,0,0
2.64,1792,72238374,36387,53122,-1,1,0,36355.77659360317,30.985446813706737,52997.2638336499,122.5767552396371,0,0
2.68,1793,72278374,36425,53238,-1,1,0,36357.629153379195,70.85771924601598,53015.87594929803,221.51963806700945,1,1
2.72,1794,72318374,36397,53144,-1,1,0,36359.88999682685,35.31603270372303,53034.94451833163,92.48567387250657,0,0
