file,window_id,start_sample,end_sample,start_s,end_s,clean_fraction_from_flags,adc_invalid_fraction,rail_fraction,flat_ratio,ecg_morph_rms,ecg_qrs_rms,ecg_qrs_band_ratio,ecg_kurtosis,ecg_skew,qrs_peak_count,reference_good,ecg_good_v01,record_label,r_peak_count_detected,bpm_median,rr_valid_count,rr_sdnn_ms,rr_rmssd_ms
ecg_raw(8).csv,10,12500,15000,25.0,30.0,0.83,0.0032,0.0032,0.025210084033613446,113.7221304327838,63.181060179177784,0.9574473590780888,52.97798289484661,6.0267092537239115,13,True,True,ecg_clean_long,2,200.0,1,0.0,
ecg_raw(8).csv,11,13750,16250,27.5,32.5,0.8232,0.0052,0.0052,0.022008803521408563,144.0588266472159,77.8601623332771,0.9565989003240127,28.394409861595637,4.412554338809084,15,False,False,ecg_clean_long,4,176.47058823529414,2,56.56854249492382,
ecg_raw(8).csv,12,15000,17500,30.0,35.0,0.8304,0.002,0.002,0.020008003201280513,103.2452869407854,55.66796845755378,0.954293932749066,29.89355391378053,4.023950186865108,14,True,True,ecg_clean_long,4,157.89473684210526,2,0.0,
ecg_raw(8).csv,13,16250,18750,32.5,37.5,0.8316,0.0,0.0,0.020008003201280513,54.65850167932999,32.90327078205244,0.9631414485816209,17.07326357459233,1.3613269853148613,14,True,True,ecg_clean_long,2,157.89473684210526,1,0.0,
ecg_raw(8).csv,14,17500,20000,35.0,40.0,0.836,0.0,0.0,0.012805122048819529,41.003156020563644,25.15283505079807,0.9570543233419154,80.65391352889877,6.186077695087758,14,True,True,ecg_clean_long,1,,0,,
ecg_raw(8).csv,15,18750,21250,37.5,42.5,0.8408,0.0,0.0,0.01600640256102441,41.632869001283346,25.40517813911749,0.9514104979796225,76.15164839513129,6.112686822067695,14,True,True,ecg_clean_long,1,,0,,
ecg_raw(8).csv,16,20000,22500,40.0,45.0,0.84,0.0008,0.0008,0.022008803521408563,70.1554585329697,45.410169672121896,0.9635813769587683,117.86716078862797,9.356703238831182,14,True,True,ecg_clean_long,2,83.33333333333334,1,0.0,
ecg_raw(8).csv,17,21250,23750,42.5,47.5,0.8388,0.0036,0.0036,0.020808323329331732,122.94733925247539,72.02770066148982,0.9640661391881872,41.30676924914112,5.597867871269575,12,True,True,ecg_clean_long,3,83.33333333333334,1,0.0,
ecg_raw(8).csv,18,22500,25000,45.0,50.0,0.842,0.0028,0.0028,0.028011204481792718,105.98431799278622,58.45990416100875,0.9675954909747896,53.35515396778239,6.167587213048194,13,True,True,ecg_clean_long,1,,0,,
ecg_raw(8).csv,19,23750,26250,47.5,52.5,0.8368,0.0,0.0,0.029611844737895156,30.229702947298527,16.06220244485622,0.9226856034017509,15.553112865561847,1.3474911665617102,14,True,True,ecg_clean_long,0,,0,,
ecg_raw(8).csv,20,25000,27500,50.0,55.0,0.8384,0.0004,0.0004,0.024809923969587835,69.69989854223867,43.463622481615936,0.9536093503433537,109.45677903597458,9.165671268174316,14,True,True,ecg_clean_long,2,93.75,1,0.0,
ecg_raw(8).csv,21,26250,28750,52.5,57.5,0.8416,0.0004,0.0004,0.023209283713485393,78.4009079322141,49.99154682017039,0.9498483102587962,74.76576208263278,7.285780906462113,14,True,True,ecg_clean_long,3,93.75,1,0.0,
ecg_raw(8).csv,22,27500,30000,55.0,60.0,0.836,0.0004,0.0004,0.01800720288115246,101.53095288938957,63.326360713944716,0.9551310671304933,45.503485783150225,5.354798527309209,14,True,True,ecg_clean_long,4,73.34963325183375,3,391.1538486750876,393.45139471096047
